id,csa2010,mortgage,rent,completion,dropout,income,market,sold,naics,sectors,arts,under50,tested06,homes,grade5,grade8,grade12,jobs,part1,absent5,absent8,absent12,birthweight,term,prenatal,business1,business2,business4,lead06,commercial5k,travel14,travel29,travel44,travel45,outsidecity,weatherized,earning40k,earking60k,earning75k,earning25k,earning75kplus,black,hispanic,white,employed64,noinlabor64,unemployed64,nomail,math3,reading3,math5,reading5,math8,reading8,owner,work19,forclosure,properties5k,vacant,violations,algebra,stormdrain,alleys,teenpregnancy,artsbusiness,businesses,commercialproperties,employeesnaics,residential,unemployment,population,violentcrime
15,Edmondson Village,58.09061489,55.49188157,77.66990291,3.094462541,40121.75,95,49100,5.316455696,42,0,53,123,70,520,325,614,161,28.48101266,16.73076923,38.15384615,45.11400651,85.04672897,85.04672897,62.61682243,7.272727273,16.36363636,27.27272727,0,6.25,17.93991416,46.00858369,19.1416309,16.90987124,59.3,0.53,19.83,23.37,9.68,28.31,18.8,99.04519414,0.063653724,0.254614895,63.19394376,24.09877433,12.7072819,7.827175955,80.80808081,74.74747475,57,78,31.68316832,57.42574257,70.9,71.84115523,2.32,2.08,3,3.83,22.26415094,1.772151899,41.39240506,89.50617284,,55,32,307,2843,16.74186654,"7,900",8.227848101
16,Fells Point,41.25560538,50.92812946,72.22222222,4,64113.16,122.5,215500,40.04867795,362,1.548843899,474,137,170,188,59,100,6155,62.28565107,6.914893617,11.86440678,43,94.15584416,94.15584416,59.09090909,8.350305499,20.57026477,34.62321792,0,9.885931559,29.22973428,41.69189371,20.68617558,8.392196435,47.4,0.02,10.64,15.06,10.36,21.04,42.9,28.49740933,43.00518135,20.46632124,78.18809098,18.31075901,3.501150013,6.966422231,87.80487805,78.04878049,75.86206897,82.75862069,42.85714286,76.19047619,53.2,87.27272727,1.58,4.39,1,2.05,44.44444444,9.514326806,49.67363646,88.88888889,86,491,526,4801,4058,4.285937744,"9,039",13.49706826
17,Forest Park/Walbrook,49.90085922,62.47723133,74.07407407,3.814262023,36858.6,122,60250,11.57477917,114,0.203066301,144,109,81,551,369,603,391,48.73591228,13.06715064,16.2601626,41.12769486,87.32394366,85.91549296,52.81690141,13.69863014,26.02739726,39.7260274,4.587155963,20.75471698,8.494404883,37.86876907,26.5768057,27.06002035,56,0.1,16.19,18.29,9.81,36.57,19.13,97.84172662,0.419664269,0.479616307,59.13184704,32.45238447,8.415768493,11.45139814,83.80952381,74.28571429,75.28089888,85.39325843,17.3553719,47.10743802,63.4,82.70481144,4.54,3.75,6,5.06,25.49800797,2.741395065,40.51172708,71.80851064,4,146,53,549,2883,12.45901639,"9,849",10.35638136
18,Glen-Fallstaff,43.33333333,55.12179888,79.46428571,2.173913043,35785.18,120,102600,32.45272898,484,0.402306558,683,164,90,421,306,506,5959,53.57382325,8.788598575,7.843137255,30.83003953,94.49541284,90.36697248,56.42201835,8.016877637,20.95639944,33.75527426,0,7.507507508,16.15040583,36.88918337,24.23389101,22.72651979,56.3,0.54,19.23,18.1,8.7,34.42,19.54,88.09160305,2.366412214,4.27480916,69.44604399,24.36945756,6.184498445,4.106099206,69.33333333,69.33333333,54.54545455,77.92207792,34.95145631,60.19417476,78.5,94.00684932,2.17,2.74,1,1.06,27.67857143,1.408072952,26.01582406,49.52380952,17,711,333,3688,3691,8.177249886,"14,914",11.73394126
19,Greater Charles Village/Barclay,34.68067906,47.78721502,76.27118644,3.886925795,31658.96,90,146000,40.75407236,668,1.037154536,862,84,110,388,214,283,8853,74.30907205,11.59793814,15.42056075,44.5229682,88.32116788,86.13138686,56.20437956,10.18099548,21.94570136,40.04524887,0,18.88888889,30.83247688,35.44266628,19.92365291,13.80120393,49.2,0.52,14.5,16.34,7.44,39.82,21.91,88.51626016,1.829268293,5.894308943,55.56768559,39.72239551,4.709918902,5.002888504,77.31958763,71.13402062,67.10526316,78.94736842,44.30379747,53.16455696,44.9,100,1.58,2.69,10,3.59,28.33333333,3.47751815,56.67744494,9.689922481,232,884,630,8545,3675,7.813712807,"16,391",17.14355439
20,Greater Govans,36.32452366,61.72839506,83.76623377,3.65497076,36069.82,99,47094,10.0177886,107,0.093624192,146,54,92,583,381,684,520,42.22451081,11.66380789,12.07349081,33.77192982,87.94326241,87.23404255,60.9929078,7.382550336,26.84563758,38.25503356,0,4.098360656,15.62709591,38.4305835,24.18958194,21.75273865,52.4,0.43,20.07,17.55,8.61,36,17.77,97.32498577,0.398406375,0.569151964,60.01856518,29.18711046,10.79432436,8.49197861,85.71428571,84.76190476,67.27272727,81.81818182,43.41085271,64.34108527,64.4,79.29634641,2.1,1.51,4,3.17,25.18518519,6.179196704,46.34397528,53.65853659,7,149,122,535,3720,15.24344569,"10,681",12.07752083
21,Greater Mondawmin,40.08298755,46.87975647,80.15873016,3.040540541,37034.48,88,34000,16.30551384,152,0.429092469,209,203,75,584,352,592,3575,112.422227,12.32876712,11.64772727,35.97972973,85.61151079,78.41726619,49.64028777,8.444444444,16.44444444,31.11111111,0,19.04761905,11.39311901,39.00169205,27.86238015,21.7428088,52,0.64,21.55,15.6,11.84,32.92,18.09,98.24355972,0,0.175644028,62.12173315,28.28404402,9.594222834,12.69618178,80,69.52380952,76.59574468,81.91489362,27.61904762,44.76190476,55.3,72.86821705,2.12,1.31,10,4.86,22.59259259,5.900021455,90.64578417,42.93381038,8,225,147,2323,3439,13.37808679,"9,322",24.78009011
22,Greater Roland Park/Poplar Hill,28.26086957,43.88625592,100,0,96854.47,110.5,380000,35.92246171,265,1.084451674,334,132,90,182,83,54,6584,32.12688085,4.945054945,6.024096386,5.555555556,94.28571429,94.28571429,74.28571429,5.714285714,17.42857143,30.85714286,0,26.72413793,27.74769897,49.1608013,9.962100704,13.12939903,44.8,0,11.84,8.92,7.73,10.67,60.85,19.10447761,2.985074627,55.52238806,76.94256757,19.42567568,3.631756757,2.68907563,94.87179487,100,100,100,56,80,76.7,95.43378995,0.4,3.56,0,0.53,68,5.151145452,12.74230717,0,22,350,116,2323,3030,4.507337526,"7,377",2.033346889
23,Greater Rosemont,45.53763441,64.81420585,76.98412698,4.542069993,28810.39,101.5,29700,12.04631601,232,0,303,479,190,1452,788,1343,1570,63.50277792,12.60330579,22.08121827,43.4102755,87.80487805,87.10801394,52.26480836,9.324758842,21.54340836,37.29903537,1.043841336,6.644518272,14.42595674,32.89517471,25.50748752,27.17138103,51.6,0.51,23.51,16.13,6.73,42.99,10.64,98.71564346,0.051374261,0.256871307,52.14004523,35.99128905,11.86866572,10.48710602,77.08333333,71.18055556,70.22900763,82.44274809,28.1124498,49.79919679,50.9,84.65387823,2.33,2.01,15,5.57,22.64808362,6.023158004,114.4400021,80.84577114,,311,301,1016,7267,18.54226642,"19,259",19.52333974
24,Greenmount East,43.51978172,60.38894575,74.13793103,4.146730463,23055.99,117,12900,14.47437929,137,0.105652404,172,183,93,584,438,627,691,57.36925515,14.7260274,23.74429224,47.68740032,82.63888889,85.41666667,48.61111111,10.11235955,21.34831461,30.8988764,3.825136612,1.554404145,14.59749553,29.55277281,28.30053667,27.54919499,47.5,0.17,21.96,11.99,6.89,53.04,6.12,97.92387543,0.230680507,0.461361015,49.65047186,37.60922754,12.74030059,16.58776747,73.68421053,64.9122807,67.59259259,72.22222222,26.71755725,48.09160305,30.2,92.6910299,1.2,2.93,39,15.51,24.02826855,14.7913365,154.5694665,99.17355372,20,178,193,730,4100,20.42016807,"8,184",19.65134707
25,Hamilton,41.33422729,54.37116564,77.44360902,4.07523511,52678.3,106,139175,14.15166897,184,0.307644978,254,64,120,670,427,638,1868,40.83987079,7.910447761,10.07025761,30.56426332,86.44067797,83.05084746,68.6440678,6.08365019,20.15209125,34.60076046,0,7.179487179,12.46046806,39.35800127,31.89437065,16.28716003,56,0.21,20.69,15.44,10.03,19.65,34.19,86.39053254,1.882732652,9.144701452,71.66347562,22.4011713,5.93535308,5.393173675,73.98373984,76.42276423,68.02721088,82.31292517,40.83333333,65.83333333,83.1,93.09462916,3.09,1.9,0,1.56,29.92125984,3.845562221,23.22719582,25.26315789,8,263,195,1395,4368,7.648766328,"13,002",9.460083064
26,Harbor East/Little Italy,36.41791045,59.87210232,66.66666667,4.854368932,29475.3,111,242500,48.08581468,260,1.109672647,390,199,46,381,155,206,6798,119.2898095,14.17322835,17.41935484,40.77669903,85.10638298,84.04255319,61.70212766,10.29411765,23.52941176,39.46078431,0,14.5194274,41.30658436,32.45884774,15.17489712,11.05967078,41.9,0,13.39,6.85,10.8,44.74,24.23,93.65269461,2.634730539,0.958083832,61.52951439,30.32858389,8.141901716,4.639175258,82.53968254,69.84126984,63.63636364,70.90909091,21.05263158,34.21052632,41.9,82.9787234,1.19,1.44,2,2.76,21.95121951,9.617162937,35.87941557,70.42253521,61,408,489,6367,1596,11.68614357,"5,407",28.48159793
27,Harford/Echodale,35.11705686,58.11044003,84.10596026,2.65095729,51797.31,98,154950,10.98640062,185,0.296929746,269,156,124,805,493,679,2146,41.4513926,10.80745342,10.14198783,27.98232695,88.05309735,85.84070796,57.96460177,4.676258993,12.94964029,25.89928058,0,6.806282723,9.388386483,41.71822941,33.88862446,15.00475964,60.3,0.28,21.41,16.93,12.96,21.77,26.93,82.98368298,2.564102564,12.58741259,73.17094164,20.98467895,5.844379411,4.854903039,81.63265306,73.46938776,74.19354839,83.87096774,44.21768707,63.94557823,84.5,81.51549943,2.58,1.89,0,1.48,35.37414966,4.572718095,11.40210226,15.84158416,16,278,191,1236,5076,7.396514161,"16,839",10.68947087
28,Highlandtown,37.91304348,40.30658251,61.9047619,4.511278195,59209.61,107,215000,37.37931034,271,0.275862069,375,113,145,239,109,133,3351,77.51724138,10.46025105,19.26605505,51.12781955,91.60305344,92.36641221,62.59541985,9.844559585,19.17098446,31.60621762,0,9.35828877,23.32312831,39.4934595,21.90370164,15.27971055,54.7,0,17.62,11.92,13.15,20.85,36.46,33.91136802,34.4894027,26.97495183,76.43272425,16.92275748,6.644518272,8.764489681,77.5,77.5,71.79487179,71.79487179,41.46341463,73.17073171,61.9,100,2.18,4.36,1,1.36,33.87096774,2.75862069,126.2068966,77.5862069,4,386,374,1979,3163,7.9980005,"7,250",20.68965517
29,Howard Park/West Arlington,55.03199535,62.34158117,83.62068966,3.66088632,38218.31,104.5,115000,11.31242527,123,0.183941874,163,0,71,492,314,519,4099,50.49204451,6.504065041,11.46496815,37.18689788,85.98130841,85.04672897,48.59813084,2.873563218,14.94252874,28.73563218,0,11.53846154,10.53869678,38.932016,24.58245119,25.94683604,57.3,0.35,25.48,17.08,12.19,27.01,18.23,95.70119803,0.916138125,0.634249471,60.32235459,31.2403644,8.437281009,6.411439114,86.51685393,82.02247191,82.14285714,91.66666667,31.52173913,55.43478261,78,89.66408269,3.82,2.81,2,2.59,25,3.770808425,28.6949324,61.62464986,15,174,156,1960,3165,12.27068895,"10,873",11.40439621
30,Inner Harbor/Federal Hill,28.16685802,39.10733262,72.72727273,3.937007874,77887.97,99,275000,69.93865031,570,3.680981595,756,232,313,210,92,127,10382,165.1533742,9.047619048,17.39130435,38.58267717,92.07317073,92.68292683,74.3902439,7.901234568,21.60493827,37.40740741,0,19.20792079,21.97009444,43.0089192,21.60283316,13.4181532,54.3,0,5.62,17.52,6.61,17.89,52.37,48.47870183,4.665314402,41.37931034,79.88338192,16.79508538,3.321532695,3.634152932,80.64516129,96.77419355,75,90,76.66666667,76.66666667,63.5,84.92647059,1.29,3.9,1,0.36,36.70886076,4.662576687,53.00613497,30,998,810,505,10665,5894,3.99199099,"12,855",18.65030675
31,Lauraville,46.15625,57.0719603,73.88059701,2.782071097,56061.17,106,137000,12.79230832,157,0,227,145,129,560,364,647,1299,39.59912002,9.642857143,11.26373626,31.68469861,86.61417323,85.82677165,66.14173228,12.39316239,27.77777778,40.17094017,0,3.472222222,13.9818689,42.0153417,28.26011158,15.74267782,54,0.33,15.27,24.01,13.79,14.05,32.88,87.70883055,1.61097852,8.174224344,70.83282675,20.35258359,8.814589666,7.089859852,84.94623656,81.72043011,68.35443038,73.41772152,34.45378151,53.78151261,79,86.71454219,2.5,2.03,1,1.25,25.09960159,2.770308808,27.70308808,38.81278539,,234,144,1225,4480,11.06701267,"12,273",6.273934653
32,Loch Raven,31.57294833,48.25131538,81.00558659,2.770448549,47093.12,98.5,134000,11.16844099,171,0.195937561,206,0,99,793,549,758,3709,34.28907322,6.557377049,8.378870674,31.39841689,88.60103627,83.93782383,54.40414508,5.092592593,20.83333333,29.62962963,0,33.96226415,13.18240436,36.81043129,28.15589626,21.85126809,53.1,0.76,18.81,22.74,15.41,22.3,20.75,96.5532479,0.176756518,0.795404331,67.43968581,23.30278661,9.257527586,2.211941593,85.92592593,82.96296296,80.68965517,85.51724138,29.88505747,52.87356322,81.5,78.7322769,2.67,1.49,0,1.37,30.24911032,3.984063745,38.79563712,57.8358209,4,216,53,3650,4229,12.07022677,"15,311",8.425315133
33,Madison/East End,43.20987654,57.97399042,77.68595041,4.463040446,33352.13,122.5,25000,22.36216425,174,0,209,377,110,915,594,717,452,65.54427451,13.55191257,24.41077441,53.27754533,85.38011696,83.62573099,50.29239766,8.962264151,19.81132075,36.32075472,6.100795756,7.650273224,10.52162283,35.44360232,22.69282211,31.34195274,49.9,0.16,22.7,17.01,8.11,43.23,8.94,95.73770492,2.049180328,1.229508197,44.27525058,43.1765613,12.54818813,13.00056402,73.7704918,78.1420765,83.22981366,85.71428571,21.46341463,42.43902439,26.9,70.07874016,2.39,3.7,26,3.73,17.28395062,14.26551857,611.8750803,81.01265823,,212,183,756,3220,22.08276798,"7,781",25.06104614
34,Medfield/Hampden/Woodberry/Remington,33.13840156,45.17969196,77.94117647,3.571428571,49203.99,97,164950,32.20611916,560,1.782838739,828,156,223,470,252,364,13182,51.1847251,16.38297872,15.47619048,41.20879121,91,90,66.5,7.317073171,17.42160279,31.01045296,0,10.34482759,29.85603782,39.52513966,16.68457241,13.93425011,50.4,0.1,19.08,19.87,9.8,21.9,29.35,28.76254181,4.096989967,57.60869565,75.10055693,20.61417079,4.285272277,5.00447828,95.29411765,88.23529412,88.73239437,92.95774648,50.72463768,69.56521739,68.7,81.77339901,1.57,2.37,1,1.32,37.22627737,2.070393375,33.81642512,58.82352941,90,861,551,4620,6750,5.398031765,"17,388",7.131354957
35,Midtown,28.82539683,46.88581315,67.64705882,5.421686747,35393.86,83,195000,53.19573901,799,2.862849534,1063,0,81,245,107,166,13977,92.87616511,9.387755102,22.42990654,34.93975904,90.17857143,89.28571429,67.85714286,10.09090909,18.90909091,32.45454545,0,8.074534161,31.97278912,37.16153128,14.67253568,16.19314392,46.8,0.03,17.34,16.57,4.92,37.97,23.2,82.24956063,2.284710018,10.36906854,65.37852919,29.96585325,4.655617556,6.691871456,70,85,72.72727273,87.87878788,23.25581395,41.86046512,41.9,99.05902481,1.62,3.9,5,5.25,28.07017544,5.85885486,44.00798935,8.012820513,469,1100,966,22948,3279,6.647639434,"15,020",15.17976032
36,Midway/Coldstream,31.20706575,70.09771987,81.81818182,4.090267983,32544.13,84.5,24500,16.93682461,163,0.207813799,223,114,86,750,460,709,1691,66.39650873,15.6,22.17391304,44.56981664,79.36507937,85.71428571,45.23809524,10.0877193,21.05263158,36.40350877,6.140350877,3.169014085,13.25490196,40.65359477,20,26.09150327,52.9,0.24,23.71,13.43,11.28,39.03,12.54,98.49198869,0.094250707,0.188501414,57.35106835,33.60690533,9.04202632,16.52134006,76.99115044,76.99115044,69.51219512,84.14634146,29.92125984,47.24409449,40.9,81.66023166,2.13,2.04,17,6.97,26.171875,8.000831255,155.7564422,53.73831776,3,228,284,787,4176,13.61892583,"9,624",22.02826268
37,Morrell Park/Violetville,40.24390244,40.67431851,95.23809524,3.365384615,40645.03,91,103000,30.90138331,277,0,431,65,73,429,252,208,11167,68.04997769,17.01631702,19.84126984,26.44230769,92.5,87.5,61.66666667,5.831533477,15.76673866,27.86177106,0,10.97046414,23.22411533,42.22804718,22.49017038,12.0576671,68.7,0.16,19.18,21.13,10.34,28.53,20.82,22.35897436,4.923076923,67.38461538,66.98740378,27.34429671,5.66829951,4.379372895,95.23809524,80.95238095,80.55555556,93.05555556,56.98924731,56.98924731,77.2,63.89684814,2.34,1.14,2,2.53,51.76470588,2.008032129,28.55867916,78.81773399,,463,474,3659,3165,7.801589213,"8,964",6.581883088
38,Mount Washington/Coldspring,33.80753138,47.70857814,85.71428571,5.172413793,79126.82,115,280000,30.57275542,158,0.773993808,204,90,32,137,82,58,2229,33.08823529,4.379562044,6.097560976,10.34482759,92.53731343,89.55223881,64.17910448,6.392694064,25.11415525,37.89954338,0,9.803921569,18.69376874,47.15094968,21.32622459,12.82905698,49.9,0.55,12.02,11.3,8.53,21.47,46.68,49.01960784,1.307189542,39.86928105,84.17557031,12.4169795,3.407450188,0.899491592,89.47368421,89.47368421,87.5,95.83333333,50,60.71428571,83.6,100,0.88,3.07,0,0.05,51.85185185,0.96749226,5.030959752,10.86956522,76,219,102,2631,1825,3.890537422,"5,168",2.321981424
