id,csa2010,mortgage,rent,completion,dropout,income,market,sold,naics,sectors,arts,under50,tested06,homes,grade5,grade8,grade12,jobs,part1,absent5,absent8,absent12,birthweight,term,prenatal,business1,business2,business4,lead06,commercial5k,travel14,travel29,travel44,travel45,outsidecity,weatherized,earning40k,earking60k,earning75k,earning25k,earning75kplus,black,hispanic,white,employed64,noinlabor64,unemployed64,nomail,math3,reading3,math5,reading5,math8,reading8,owner,work19,forclosure,properties5k,vacant,violations,algebra,stormdrain,alleys,teenpregnancy,artsbusiness,businesses,commercialproperties,employeesnaics,residential,unemployment,population,violentcrime
11,Cross-Country/Cheswolde,35.2,41.7,82.8,2.2,"63,371.30",30,"213,500",6.4,6.4,0.5,145,297,20,190,94,136,905,13.4,28.6,34.3,43.9,94.9,93.4,47.8,3.3,13.1,16.3,0,40.7,22.9,42.7,18.9,15.5,61.5,0.1,14.3,15.4,11.1,17.8,41.4,76.9,13.8,13.8,72.9,23.4,3.5,1.1,60.7,61.3,36,76,45.5,84.8,80.9,97.7,0,5.6,0.2,0.4,43.5,3,3.8,2.2,16,153,27,380,"2,895",6,"13,213",3.5
12,Dickeyville/Franklintown,33.5,43.3,80,,"45,807.80",36.5,"335,450",11.4,11.4,0.8,50,83,6,220,107,80,218,27,40.2,39.6,57.1,91.4,89.7,60.3,30.5,35.6,39,0,27.3,1.8,39,34.6,24.6,61.4,0,10.5,19.7,16.6,32.6,20.6,96.3,2.7,2.7,77.9,18.3,3.9,1.4,46.9,70,50,79.5,38.2,52.9,65.2,55.6,0,4.7,1.9,0.6,39.4,1.1,7.1,21.1,35,59,33,848,322,3.2,"3,672",6.5
13,Dorchester/Ashburton,32,47.9,78.7,0.8,"55,345.80",20,"260,000",10.2,10.2,,145,103,33,542,334,400,"1,167",43.8,31.3,37,54,83.5,83.5,73.2,9,17.3,17.9,0,8.7,6.9,49.7,21.6,21.8,55.2,0.1,14,17.3,7.8,23.2,37.7,94.8,3,3,61.4,30.8,7.8,7.2,40.7,56.7,43.8,71.4,29.6,62.9,63.3,100,0.7,6.8,3.2,3.4,40.2,4.2,32.9,16.4,,156,115,723,"3,423",8.8,"10,441",14.2
14,Downtown/Seton Hill,37.7,50.6,77.8,3.4,"59,158.50",33,"223,275",216.4,216.4,4.1,"2,352",90,12,93,65,59,"77,294",134.6,39.4,52.4,65.3,91.4,91.4,74.1,8.7,22.2,28,0,19.6,30.7,38.9,17.5,12.8,45.6,0.1,13.4,15.5,18.4,21.7,31,87.6,3.7,3.7,72.4,23.7,2.5,2.1,44,52,42.9,57.1,44.4,66.7,37.8,100,0.7,3.9,9.3,4.6,50,7.6,50.2,10.9,320,"2,658","1,143","59,708",701,2.5,"9,448",50
15,Edmondson Village,33,67.5,75.6,2.4,"44,911.30",31,"166,500",6.2,6.2,,54,166,53,493,323,368,155,32.8,45.1,48.6,62,84.2,81.6,53.9,8.6,24.1,31,0,,2.9,26.6,31.3,39.1,61.4,0.1,14,18.2,8.9,30,28.9,97.4,1.9,1.9,64.9,31.7,3.4,7,50.6,55.3,33.3,73.1,35.6,48.3,58.1,88.6,0.4,5.4,3.9,1.9,27.7,3.2,36.4,24.7,,58,32,172,"2,832",5.8,"7,093",14.1
16,Fells Point,21.9,35.3,72.7,2.9,"97,869.60",24,"299,000",28.7,28.7,1.6,406,180,78,128,67,69,"7,750",40.3,12.7,12.4,43.4,94.5,94.5,79.8,5,14.8,21.5,0,15,20.5,40.1,24.4,15,46.6,0.1,5.4,12.1,9.4,11.4,61.7,18.2,53.8,53.8,86.2,12.4,1.2,4.7,77.8,83.3,80,88.5,47.4,70.6,48.5,78.1,0,4.6,0.9,1.1,26.7,4.7,26.9,22.2,161,438,461,"3,781","4,172",1.5,"10,638",10.2
17,Forest Park/Walbrook,40.7,53.8,80.8,1.2,"48,992.10",21,"215,950",9.8,9.8,0.2,117,63,38,585,316,339,457,42.2,37.3,42.4,58.9,85.5,86.3,55,4.1,17.1,23.6,0,14.3,6.5,44.2,20.5,28.9,57.8,0.1,14.3,21.6,6.4,28.1,29.6,95.1,3.2,3.2,64.9,30.5,4.6,13.4,50.9,59.8,53.5,82.5,32.3,57,51.8,51.5,0.6,6.8,5.9,3.8,29.2,3.6,49.6,21.3,5,123,49,408,"2,885",10.8,"9,426",12.2
18,Glen-Fallstaff,32.9,53.2,77.8,2,"44,228.10",21,"230,000",28.8,28.8,0.6,572,69,31,620,370,446,"6,645",45.4,30.8,41.5,53.6,90.4,89.4,52.1,5.3,17.7,22.3,0,6.6,20.8,24,28.1,27.2,59.8,0.1,15.3,16,11.8,30,26.9,67.7,27.5,27.5,67.3,26.7,5.9,4.2,47.8,57.3,47.2,79.2,43.3,66.7,70.2,84.9,0.3,3.4,1.1,1.6,42.1,1.7,27,26.7,44,628,335,"3,470","3,690",9,"14,497",12.6
19,Greater Charles Village/Barclay,21.9,49.2,73.3,3.6,"45,797.70",20,"222,988",39.9,39.9,1.6,783,116,54,326,179,223,"13,035",43.1,42.1,42.7,58.9,85.5,87,64.9,9.8,21.8,26,0,14.5,24.2,39.4,17.9,18.5,49.6,0,15,14.4,6.5,31.3,32.8,73.1,14,14,60.1,34.2,5.4,7.2,52.2,64.2,50,69.1,42.3,61.5,43.6,99.7,0.1,6.2,4.2,3.9,32.6,2.7,53.4,4.8,235,861,599,"7,562","3,750",6.2,"16,944",16.3
20,Greater Govans,38.8,59,82.4,1.7,"43,781.90",30.5,"175,500",7.8,7.8,0.1,104,120,60,554,406,484,638,34.5,35.4,43,56.6,85.4,82.5,60.2,7,20,24.3,0,4.7,9.1,30.8,31.4,28.6,52.6,0.1,18.2,20.5,9.3,25.9,26.1,94.6,2.6,2.6,66.9,23,10.1,10.9,47.4,49.6,40.2,78.3,23.7,50,52.6,90.4,0.5,5.7,3.6,4.1,35.2,3.9,45.9,29.3,7,115,127,387,"3,728",15.8,"9,593",13.7
21,Greater Mondawmin,42.3,52.6,71.7,2.7,"40,488.60",23.5,"170,000",21.9,21.9,0.3,236,84,39,509,287,369,"4,138",67.6,42.4,49,59.7,89.7,92,65.5,4.2,11.8,16,0,5.6,6.2,31.1,41.5,21.2,53.1,0.1,19.1,18,9.4,30.5,23.1,98,1,1,59.2,32.4,8.3,19.1,44.3,56.4,52.4,79,23.2,51.2,43.4,93.2,0.3,4.3,13.9,4.9,30.1,5.4,77.9,14.3,23,262,126,"1,489","3,417",11.1,"8,638",23.4
22,Greater Roland Park/Poplar Hill,26.1,50,91.7,,"125,868.90",19,"370,000",33.5,33.5,1.1,288,92,33,213,113,102,"3,117",20.2,5.3,3.8,9.2,95.7,89.1,93.5,8.4,18.9,24.5,0,22.9,29,41.8,12.9,16.3,48.9,0,9.7,9.5,7.4,7.8,65.6,18.2,6.3,6.3,77.1,20.9,1.8,2.4,97,95,90.9,97.7,88.9,94.3,75.1,100,0,5.5,0.1,0.3,100,6.7,8.1,0,38,322,109,"2,259","3,030",1.8,"7,283",4.1
23,Greater Rosemont,57.4,50.5,78.2,1.9,"37,490.00",27.5,"98,500",12,12,0.1,232,,90,"1,093",640,850,"1,423",66.2,50.9,55.2,65.2,86,82.5,56.5,6,12.8,15.6,,10.3,8.9,23.2,33.3,34.7,56.1,0.4,19,19.5,6.4,35.7,19.5,97.4,1.8,1.8,50,38.3,11.7,18.1,36.8,51.1,32.2,65.3,27.2,50.7,38.3,85.8,0.3,3.9,19.1,5,26.4,5.4,88,22.4,14,250,398,"1,032","7,105",17.8,"15,099",26.7
24,Greenmount East,44.8,54.2,81.3,1.8,"32,207.90",28,"124,550",11.1,11.1,0.3,100,114,35,457,248,333,690,65.3,45.7,53,67.1,88,84.3,61.4,1.9,10.2,14.8,0,5.4,19.9,31.3,18.6,30.2,52.2,0.1,13.3,20.5,6.5,46.2,13.5,94.8,2.2,2.2,54.4,37.1,7.8,20.2,36.2,46.5,24.4,61.1,23.9,44.8,24.8,77.5,0.1,5.8,29.2,7,33,6.6,161,24.8,34,108,184,376,"3,953",16.9,"6,955",27.7
25,Hamilton,33.5,31.1,86.6,0.6,"72,534.90",17.5,"225,000",15.1,15.1,0.5,237,137,71,618,397,507,"1,381",27,17,18.9,41.1,84.4,82.8,68,4,12,16.3,0,2.6,8,33.6,33.6,24.8,56.9,0,9.2,15.1,15.8,12.5,47.4,86.5,4.2,4.2,71,24.8,3.9,5.8,58.2,60.6,53.1,77.5,35.4,65.3,73.4,94.8,0.5,4.4,1,1.2,40.4,2.4,18.4,18.9,45,251,192,"1,166","4,352",5,"12,391",8.6
26,Harbor East/Little Italy,29.1,30.6,71.4,1.9,"61,235.20",33,"315,000",59.5,59.5,1.6,367,56,25,259,148,162,"8,600",76.6,36.5,35.7,61.6,91.5,87.2,72.3,5.5,17,20.8,0,11.3,28.9,31.5,28.5,11.1,47.8,0.1,10.7,6.9,3.7,32.1,46.6,78.2,11.1,11.1,70.1,23.3,6.6,6.4,29.3,47.1,34.5,75.9,26,55.1,33.2,94.7,0.1,3.1,1.6,1.6,18.2,7.2,54.9,21.1,73,418,462,"7,911","1,787",5.3,"5,027",24.7
27,Harford/Echodale,25.1,40.3,79.7,2.2,"61,434.20",17,"253,500",11.7,11.7,0.4,243,281,60,825,430,492,"2,410",27.6,25.5,31.8,37.9,86.8,88.4,66.3,7.3,21.1,22.5,0,10.6,10.8,44.2,23.2,21.8,60.1,0.1,12.8,20.6,11.1,15.6,39.9,82.8,6.2,6.2,78.3,18.1,3.5,4,58.7,68.4,50,74.6,38.9,61.1,76,90.8,0.4,4.5,0.7,1.2,35.3,3.5,11.9,17.8,21,275,188,"1,271","5,068",4.8,"16,450",9.4
28,Highlandtown,26.7,33,75,2,"99,549.10",23,"335,000",26.4,26.4,0.7,310,208,69,376,190,203,"2,760",46.7,26.7,45.5,63.5,94.7,94.7,73.5,3.6,14.5,20.8,0,7.9,12.1,39.3,24.8,23.8,51.5,0,6.6,10.2,10.3,12.6,60.3,12.6,74.1,74.1,86.7,10.6,2.6,4.9,48.4,36.6,65.8,80,39.5,63.4,57.2,100,0.1,8.1,1.2,1,29.2,4.1,99.3,43.1,66,332,343,"1,588","3,240",3.6,"8,820",12.7
29,Howard Park/West Arlington,44.2,71.3,83.6,0.9,"50,991.60",26,"265,000",14.1,14.1,0.2,170,,27,402,259,323,"6,164",41.2,29.2,32.5,48.5,87.5,86.6,62.5,5.9,18.3,24.2,,6.6,6.5,31.2,31,31.3,58.8,0.1,13.6,19.5,9.5,27.1,30.4,92.1,5.9,5.9,60,32.7,7.2,7.7,48.9,50.7,40.3,80.5,36.4,62.1,68.5,89.2,0.6,6.1,1.7,1.6,26.5,4.7,29.7,19.6,4,186,151,"2,283","3,146",11.6,"9,386",10.2
30,Inner Harbor/Federal Hill,22.4,38.4,82.4,,"104,058.30",35,"360,200",37,37,1.3,688,193,136,226,103,92,"10,434",33.3,23.4,25,30.6,92.5,90.6,84.9,6.9,20,24.7,0,13.9,18.4,41.8,23.3,16.5,55.9,0,5.3,7.8,9.5,13.8,63.7,37.3,5.9,5.9,84.7,13.2,1.5,3.4,72.1,77.3,70,87.5,46.4,57.1,58.3,100,0.1,4.8,0.4,0.5,42.9,4.6,18,0,"1,004",807,452,"9,527","5,969",1.2,"15,124",7.4
31,Lauraville,31.2,34.7,83,0.9,"70,883.20",18,"264,000",13.3,13.3,0.5,187,93,58,539,311,442,"1,565",29.4,23.8,36.4,39.3,87.9,86.4,71.2,7.8,17.1,20.5,0,10,13.6,43.1,19.7,23.6,54.4,0,7.3,21.4,8.6,15.1,47.6,83.8,3.9,3.9,67.8,27.9,4,6.5,58.7,72.2,43.6,82.9,37,70.8,71.3,84,0.5,6,1.2,1.4,33.7,2.8,21.4,22.8,39,205,130,"1,386","4,451",6.2,"11,324",9
32,Loch Raven,26.2,42.6,77.5,1.5,"55,191.40",15,"195,000",11.6,11.6,0.1,180,199,29,813,457,606,"2,900",25.6,33.6,38.8,41.4,85.6,84.3,73.2,9.7,21,27.2,0,38.5,7.8,43.1,26.1,23,56.3,0,11,24.7,11.8,21.3,31.2,95.4,3.5,3.5,72.1,23.2,4.6,2.6,66.7,69.9,56.4,82.1,31.7,61.2,74.3,87.6,0.5,3.2,0.4,1.6,47.6,3.2,25.7,14.9,1,195,52,"2,732","4,218",9.3,"14,161",9.2
33,Madison/East End,32.7,55.4,66.7,4.5,"37,302.90",30,"93,500",19.2,19.2,0.2,134,117,45,321,192,266,332,87.3,33.3,51.3,65.7,80.6,81.6,44.7,2.1,14.3,17.9,6,5.3,14.6,48.5,18.2,18.7,51.7,0,16.9,19.4,4.9,35.4,23.4,84.6,13.2,13.2,53,41.9,4.7,16.3,42.5,47.5,34.5,65.5,24.3,49,22.1,78.2,0.3,7.1,18.7,5.3,29,7.5,340.7,22.8,28,140,187,599,"3,266",17.5,"6,093",36.1
34,Medfield/Hampden/Woodberry/Remington,22.7,39.5,93,1.8,"72,756.90",17,"247,000",35.4,35.4,1.4,813,332,96,390,193,222,"13,477",36.7,19,23.9,36,90.4,90.8,80.7,6.7,18.4,24.4,0,16,22.6,41.7,23.3,12.4,47.2,0,11.5,15.2,10.9,14,48.4,24.3,10.2,10.2,84.4,12.3,3.2,3.2,69,78.7,64.4,89.5,58.1,75.7,65.2,95.5,0.1,7.2,0.7,1,55,4,25.9,7.4,168,880,525,"4,733","6,853",3.3,"17,733",8.7
35,Midtown,17.9,38.5,83.3,4.8,"58,809.80",40,"325,000",40.7,40.7,3.3,875,164,31,165,75,105,"10,977",45.7,31.1,29.8,35,94.5,90.8,78,5.3,17,23.8,0,8.1,15.5,43.7,21.2,19.6,47.5,0.1,11,13.9,10.7,26.2,38.2,67.8,7.8,7.8,76.5,19.9,3.5,6.3,48.8,77.4,72.5,92.7,30.3,60.6,40.3,95.4,0.4,5.8,1.2,1.7,35,2.2,33.5,1.6,878,985,749,"5,495","3,496",5.9,"17,099",13.5
36,Midway/Coldstream,42.2,54.1,75,1.4,"35,897.90",29,"88,000",16.8,16.8,0.1,165,132,43,577,351,420,947,73.9,46.8,54.9,60.6,87,85.9,55.4,1.7,12.6,19.4,0,5.7,15.8,30.9,27.5,25.8,51.7,0.1,20.6,15.5,8.8,35.9,19.2,95.7,2.4,2.4,50,37,13,19.5,43.5,54.2,45,71.9,20.3,47.8,30.3,87.1,0.2,4,19.8,6.2,28.8,5.5,154.6,21,2,175,279,549,"4,043",24.4,"7,393",29.4
37,Morrell Park/Violetville,35.2,47.1,84.6,3.1,"43,842.80",15,"128,750",29.1,29.1,0.6,345,69,36,424,247,227,"10,539",56.9,31.9,35,60,82,76.6,54.1,5.5,17,20.9,0,7.8,17.3,46.9,16.2,19.6,70.1,0.1,15,17.3,11.5,31.6,24.7,44.7,15.7,15.7,56.2,36.3,7.3,5.5,60.2,67.5,38,73.2,29.6,72.1,59.9,68.2,0.4,2.1,1.9,1.4,40,6.5,57.4,24.6,14,383,464,"5,809","3,154",9,"8,557",21.5
38,Mount Washington/Coldspring,22.7,45.2,88,,"86,714.80",21,"370,000",31.4,31.4,0.7,207,104,17,192,107,99,"3,999",17.1,8.3,26.6,8.2,91.1,91.1,76.8,9.9,27.6,32.8,0,12.1,12.4,53,19.3,15.4,51.4,0,6.8,11,11.4,16.3,54.5,40.5,4.5,4.5,72,25,3,0.7,93.9,97.1,81.5,88.9,60,84,79.7,100,0.3,5.4,0.2,0.4,62.5,4.7,24.7,10.9,13,232,99,"1,597","1,841",6,"5,790",3.1
39,North Baltimore/Guilford/Homeland,22.1,47.8,97.2,,"114,246.70",22,"380,000",16.3,16.3,0.6,348,218,55,257,152,166,"4,183",13.9,13.2,16.2,23.6,89.1,92.7,86.4,7.5,19,22.5,0,13.8,25.8,39.5,18.8,15.9,48.3,0,8.8,6.4,10.7,12.5,61.5,36.7,5.2,5.2,61.6,33.6,4.6,1.9,97.8,96.5,87.8,92.7,78.6,90.5,73.6,98,0.1,5.6,0.5,0.4,57.1,3.4,9.1,0,70,374,225,"1,957","5,099",5.1,"17,626",2.6
40,Northwood,32.4,55.2,74.6,1.1,"56,756.60",16,"212,000",5.3,5.3,0.5,101,240,46,602,399,539,"3,397",28.6,28.3,36.9,47.3,88.1,88.1,70.6,5,20,26.7,0,10.2,15,35.1,27.7,22.2,54.4,0.1,11.4,21.2,5.2,20.6,41.6,95.5,1.4,1.4,61.5,32.6,5.7,4.6,64.4,64.2,52.5,81.4,30.3,52.9,76.6,98.5,0.5,4.3,0.5,1.7,38,4.7,23.5,4.5,83,120,59,685,"4,655",7.8,"14,533",11.1
41,Oldtown/Middle East,42.8,48.3,69.7,1.4,"24,190.70",20,"210,000",114.6,114.6,0.7,"1,132",202,15,551,320,363,"30,384",78.6,48.2,51,67.2,80.4,84.8,65.8,21.3,42.2,48.3,0,22.8,24.3,33.3,16.9,25.5,50.5,13.4,11.7,14.5,6.3,51.4,16.1,91.9,5.6,5.6,44.8,48.9,6.3,3.6,36.4,50.3,32,65.6,16.8,47.5,35.2,87.6,0.7,5.9,9.9,3.2,27.8,5.8,51.5,29.7,109,"1,240",473,"18,596","1,701",14.7,"10,009",32.8
42,Orangeville/East Highlandtown,34.5,29.7,85.4,3.5,"69,139.10",22,"237,500",38.3,38.3,0.5,589,137,44,918,491,519,"14,255",67.5,23.4,34.3,55.7,92.9,87.6,42.9,8.8,22.9,27.3,0,14.6,15.3,38.3,27.5,19,58,0,13.3,11.5,8.5,20,46.7,9.8,83.2,83.2,58.6,36.5,3.9,5.1,49.2,52.7,39.7,74.4,30.3,57.6,47.9,78.8,0.2,6.5,1.1,1.6,23.4,6.6,112.3,60.6,63,651,618,"6,974","3,971",3.3,"11,502",22.2
43,Patterson Park North & East,24.2,46,85.2,3.9,"80,328.00",21,"249,150",6.6,6.6,0.2,124,199,122,601,346,415,893,49.9,28.7,42.1,58.5,89,88,58.2,3.7,12.6,17.8,0,12.3,17.5,34.9,27.1,20.5,50.4,0,11.8,13.4,7.8,14.1,52.8,41.8,50.6,50.6,76.7,19.6,3.3,7.9,50,51.4,44.7,73.7,23.2,50,47.7,80,0.2,7.5,3.5,3.1,20.6,5,177,39.8,10,135,146,441,"6,381",5.7,"14,320",12.8
44,Penn North/Reservoir Hill,27.5,60.7,75,1.7,"33,920.80",23,"120,250",8.7,8.7,0.5,96,93,24,388,253,289,931,58.8,45.6,44.1,65.8,87.4,88.4,73.7,3.9,11.7,13.6,0,10,13.4,29.5,24.3,32.8,51.8,0.1,17.7,12.9,6,36.5,26.8,94.6,2.6,2.6,65.9,29.6,4.3,19.8,34.5,44.9,50,83.3,26,44.5,32.5,81,0.3,5.9,15.8,3.5,29.6,3.5,96.4,17.6,11,103,140,269,"2,995",6.2,"8,072",18.6
45,Pimlico/Arlington/Hilltop,33,49.7,81.1,1.1,"34,041.70",22,"111,500",31.8,31.8,0.1,311,78,48,540,327,442,"6,975",58.6,42,54.3,61.5,85.7,85.7,53.6,8.3,23.5,28.9,0,11.7,10.5,45,25.4,19.1,56.9,0.5,15,16.9,9.9,40,18.3,95.3,3.4,3.4,66.7,28.8,4.5,13.8,35.1,55.6,31.9,74.5,27,59.4,44.3,86.2,0.4,5.9,15,4.6,23.4,4.5,55,19.6,3,336,206,"3,314","3,876",8.9,"9,376",25.7
46,Poppleton/The Terraces/Hollins Market,20.6,42.8,66.7,3.6,"23,373.60",34.5,"141,250",14.2,14.2,0.6,90,68,24,235,149,165,"1,775",53.1,37.4,42.2,68.2,89.9,82.6,49.3,2.1,15.5,21.6,0,6.8,17.7,36.1,23.4,22.8,54.5,0.1,11.7,6,4,52.3,25.9,94.7,3.3,3.3,60.4,33.1,6.5,6.7,26.8,44.2,28.9,69.8,18.2,48.1,27.8,97.6,0.5,5.4,9.3,5.6,15.2,4.9,92.2,35.7,12,97,206,570,"1,358",11,"4,728",20.5
47,Sandtown-Winchester/Harlem Park,49.7,53.1,81,3.5,"26,689.50",36,"50,000",10.4,10.4,0.1,137,165,61,758,390,491,710,76.1,53.8,51.2,68,81.4,79.6,61.1,2,9.9,13.8,0,7.2,10.3,28.7,28.2,32.7,54,0.4,13.2,16.7,8.4,48.6,13.1,95.4,2.2,2.2,46.8,45.5,7.7,17.7,38,46.4,32.3,60.5,20,44.4,25.7,73.2,0.3,3.3,32,6.1,29.3,4.8,135.3,17.5,1,152,194,716,"5,984",14.3,"10,531",33.1
48,South Baltimore,18.8,25.8,100,,"124,827.10",16,"356,000",21.9,21.9,0.7,239,172,73,174,84,36,"6,837",17.4,10.8,14,28.3,94.3,93.4,85.2,3.9,14.7,21.5,0,12.9,22.3,43.2,22,12.5,57.9,0,5.4,7.5,6.9,6.8,73.4,10.5,6.5,6.5,86.1,11.3,1.4,2.3,82.6,87,57.9,94.7,50,85,70.4,100,0.3,6.2,0.2,0.3,33.3,3.3,12.9,15.4,76,279,249,"19,289","3,443",1.5,"8,208",2.1
49,Southeastern,22.1,64.9,83.3,1.5,"41,980.90",20.5,"162,500",37.5,37.5,0.6,389,225,14,510,290,267,"24,671",61.6,29.3,29.2,50.7,86.9,87.6,56.2,3.7,22,26.4,0,16.7,22.8,35.4,20.4,21.4,58.1,0,12,18.5,10.7,33.2,25.6,28.8,60.9,60.9,62.2,34.7,3.1,4.3,45.2,51.9,33.9,78.2,29.8,57.5,54.2,100,0.5,2.2,1.1,1.4,24,6.9,46.8,34,43,436,454,"6,327","1,847",10.1,"6,772",17.3
